Attacks,Max
8,62353053
6,65051243
5,60051253
4,60051243
5,60051243
5,62051243
4,60051243
4,60051243
4,60051243
4,60051243
4,60051243
4,60051243
4,60051243
4,60651243
4,60651243
4,60651243
4,60651243
4,60651247
4,60651247
4,60651247
3,60651247
3,60651247
3,60651247
3,60651247
3,60651247
3,60651247
3,60651247
3,60651247
3,60651247
3,60751247
2,60751247
3,60751247
3,60651247
3,60051247
3,60051247
3,60051277
3,60751247
2,60751247
3,60751247
2,60751247
2,60751247
2,60751247
2,60751247
2,60751247
2,60751247
2,60751247
2,60751247
2,60751247
2,60751243
2,60751243
2,60751243
2,60751243
2,60751243
2,60751243
2,60751243
2,60757243
2,60751243
2,60751243
2,60751243
2,60751243
2,60751243
2,60751243
2,60751243
2,60751243
2,60751243
2,60751243
2,60751243
2,60751243
2,60751243
2,60751243
2,60751243
2,60751243
2,60751243
2,60751243
2,60751243
2,60751243
2,60751243
2,60751243
2,60751243
2,60751243
2,60751243
2,60751243
2,60751243
2,60751243
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60251643
3,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751640
2,60751643
2,60751643
2,60751243
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751643
2,60751640
2,60751640
2,60751640
2,60751647
2,62751640
2,62751640
2,63751640
2,62751640
2,62751640
2,62751640
2,62751640
2,61751640
2,62751640
2,61751640
2,61751640
2,61751640
2,61751640
2,61751640
2,61751640
2,31751640
1,31751640
1,31751640
1,31751640
1,31751640
1,31751640
1,31751640
1,31751640
1,31751640
1,31751640
1,31751640
1,31751640
1,31751640
1,31751640
1,31752640
1,31752640
1,31751640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31750640
1,31751640
1,31750640
1,31751640
1,31751640
1,31751640
1,31751640
1,31751640
1,31751640
1,31751640
1,31751640
1,30751642
1,31751640
1,30751640
1,31751640
2,31751640
1,31751640
1,31751640
1,31751640
1,31751640
1,31751640
1,31751640
1,31751640
1,31751640
1,31751640
1,31751640
1,31751640
1,31751640
1,31750640
1,31751640
1,31751640
1,31750640
1,31751640
1,31750642
2,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
2,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
2,31750642
1,31750642
2,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750646
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
2,31750642
1,31750642
1,31750642
1,31750642
2,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750640
2,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750646
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750642
1,31750640
1,31750640
1,31750640
1,31750642
2,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
2,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
2,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31751640
1,31750640
1,31750640
1,31750640
1,31750640
2,31750640
1,31750640
1,31752640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
2,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
2,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31750640
1,31752640
1,31750640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
1,31752640
2,31752640
1,31752640
